id	email	ssid	bssid	level	frequency	latitude	longitude	timestamp
2873	user10	DIMOS	54:22:f8:2e:d9:d4	-93	2442	37.936816903260215	23.645116090817123	2015-03-28 13:06:37
2874	user10	CYTA	38:22:9d:ad:54:4a	-87	2452	37.93661595192516	23.645183650356685	2015-03-28 13:06:37
2875	user10	Forthnet-25E8D8	18:17:25:25:e8:d8	-90	2432	37.93655055556866	23.644993532409405	2015-03-28 13:06:37
2876	user10	hol10	00:05:59:36:b6:24	-57	2457	37.93653486399878	23.644992913106123	2015-03-28 13:06:52
2877	user10	HOL	ba:8b:97:87:8f:11	-69	2412	37.93669866573998	23.644941468818004	2015-03-28 13:06:53
2878	user10	conn-x915dbc	8c:e0:81:91:5d:bc	-87	2462	37.93661800935485	23.645109202330865	2015-03-28 13:06:54
2879	user10	NetFasteR	00:05:59:27:16:a2	-72	2437	37.93665710010521	23.645171474864462	2015-03-28 13:06:55
2880	user10	NetFasteR	00:05:59:50:dd:32	-90	2437	37.9365706996939	23.64498880213854	2015-03-28 13:06:56
2881	user10	Tritos	00:1c:a2:ac:2a:a9	-81	2472	37.93654888455243	23.64513531622982	2015-03-28 13:06:56
2882	user10	CYTA	38:22:9d:ad:54:4a	-84	2452	37.93661595192516	23.645183650356685	2015-03-28 13:06:57
2883	user10	CYTA024997	00:8c:54:a3:dc:a1	-93	2427	37.936568031385015	23.645081584170214	2015-03-28 13:06:58
2884	user10	HOL	ba:8b:97:87:8f:11	-60	2412	37.93669866573998	23.644941468818004	2015-03-28 13:07:13
2885	user10	conn-x919834	8c:e0:81:91:98:34	-75	2467	37.93666808403287	23.644908571933662	2015-03-28 13:07:14
2886	user10	-Charalampos-	58:98:35:53:25:d4	-69	2437	37.93657552415564	23.64503049821403	2015-03-28 13:07:15
2887	user10	Tritos	00:1c:a2:ac:2a:a9	-90	2472	37.93654888455243	23.64513531622982	2015-03-28 13:07:16
2888	user10	OTE	54:22:f8:2e:d9:d5	-87	2442	37.93650686650908	23.645038676017013	2015-03-28 13:07:16
2889	user10	DIMOS	54:22:f8:2e:d9:d4	-90	2442	37.936816903260215	23.645116090817123	2015-03-28 13:07:16
2890	user10	Merlin	00:26:44:5a:4b:7c	-84	2412	37.936830578420604	23.64508698765661	2015-03-28 13:07:17
2891	user10	conn-xd2950c	14:60:80:d2:95:0c	-93	2452	37.93680139841811	23.645035492546974	2015-03-28 13:07:18
2892	user10	Thomson2E0343	00:26:44:07:fd:a1	-93	2437	37.93670307106094	23.644923052780552	2015-03-28 13:07:18
2893	user10	OTE	14:60:80:d2:95:0d	-93	2452	37.936699002674196	23.645266376460636	2015-03-28 13:07:18
2894	user10	nelu	00:1d:1c:73:ce:7d	-93	2462	37.93653486336167	23.64518391552636	2015-03-28 13:07:19
2895	user10	conn-x919834	8c:e0:81:91:98:34	-69	2467	37.93666808403287	23.644908571933662	2015-03-28 13:07:34
2896	user10	-Charalampos-	58:98:35:53:25:d4	-72	2437	37.93657552415564	23.64503049821403	2015-03-28 13:07:35
2897	user10	OTE	54:22:f8:2e:d9:d5	-90	2442	37.93650686650908	23.645038676017013	2015-03-28 13:07:36
2898	user10	DIMOS	54:22:f8:2e:d9:d4	-87	2442	37.936816903260215	23.645116090817123	2015-03-28 13:07:37
2899	user10	Merlin	00:26:44:5a:4b:7c	-90	2412	37.936830578420604	23.64508698765661	2015-03-28 13:07:38
2900	user10	anastasia	92:3e:61:82:30:13	-93	2437	37.93672214396958	23.6451795753856	2015-03-28 13:07:38
2901	user10	hol10	00:05:59:36:b6:24	-66	2457	37.93653486399878	23.644992913106123	2015-03-28 13:07:52
2902	user10	conn-x915dbc	8c:e0:81:91:5d:bc	-84	2462	37.93661800935485	23.645109202330865	2015-03-28 13:07:53
2903	user10	Tritos	00:1c:a2:ac:2a:a9	-84	2472	37.93654888455243	23.64513531622982	2015-03-28 13:07:56
2904	user10	conn-xd2950c	14:60:80:d2:95:0c	-84	2452	37.93680139841811	23.645035492546974	2015-03-28 13:07:57
2905	user10	Thomson2E0343	00:26:44:07:fd:a1	-90	2437	37.93658071838415	23.645166034308367	2015-03-28 13:07:58
2906	user10	HOL	5a:07:26:35:cb:23	-84	2412	37.93674798029409	23.645043876247403	2015-03-28 13:07:58
2907	user10	nelu	00:1d:1c:73:ce:7d	-87	2462	37.936737304634875	23.644981499080068	2015-03-28 13:07:58
2908	user10	HOL	ba:8b:97:87:8f:11	-54	2412	37.93669866573998	23.644941468818004	2015-03-28 13:08:13
2909	user10	conn-x915dbc	8c:e0:81:91:5d:bc	-81	2462	37.93661800935485	23.645109202330865	2015-03-28 13:08:13
2910	user10	-Charalampos-	58:98:35:53:25:d4	-66	2437	37.93657552415564	23.64503049821403	2015-03-28 13:08:15
2911	user10	NetFasteR	00:05:59:27:16:a2	-66	2437	37.93665710010521	23.645171474864462	2015-03-28 13:08:15
2912	user10	NetFasteR	00:05:59:50:dd:32	-87	2437	37.9365706996939	23.64498880213854	2015-03-28 13:08:16
2913	user10	DIMOS	54:22:f8:2e:d9:d4	-81	2442	37.936816903260215	23.645116090817123	2015-03-28 13:08:17
2914	user10	CYTA024997	00:8c:54:a3:dc:a1	-87	2427	37.93662727921809	23.645080486106355	2015-03-28 13:08:18
2915	user10	hol10	00:05:59:36:b6:24	-60	2457	37.93653486399878	23.644992913106123	2015-03-28 13:08:32
2916	user10	conn-x915dbc	8c:e0:81:91:5d:bc	-90	2462	37.93661800935485	23.645109202330865	2015-03-28 13:08:33
2917	user10	NetFasteR	00:05:59:27:16:a2	-78	2437	37.93665710010521	23.645171474864462	2015-03-28 13:08:35
2918	user10	Forthnet-25E8D8	18:17:25:25:e8:d8	-87	2432	37.93655055556866	23.644993532409405	2015-03-28 13:08:36
2919	user10	conn-xd2950c	14:60:80:d2:95:0c	-90	2452	37.93680139841811	23.645035492546974	2015-03-28 13:08:37
2920	user10	Merlin	00:26:44:5a:4b:7c	-93	2412	37.93676668431103	23.645006989439374	2015-03-28 13:08:38
2921	user10	Eva-Giannis	00:05:59:34:28:18	-93	2437	37.936816770006544	23.6450803342989	2015-03-28 13:08:38
2922	user10	HOL	ba:8b:97:87:8f:11	-66	2412	37.93669866573998	23.644941468818004	2015-03-28 13:08:52
2923	user10	conn-x919834	8c:e0:81:91:98:34	-78	2467	37.93666808403287	23.644908571933662	2015-03-28 13:08:54
2924	user10	NetFasteR	00:05:59:50:dd:32	-81	2437	37.9365706996939	23.64498880213854	2015-03-28 13:08:56
2925	user10	CYTA	38:22:9d:ad:54:4a	-90	2452	37.93661595192516	23.645183650356685	2015-03-28 13:08:57
2926	user10	CYTA024997	00:8c:54:a3:dc:a1	-90	2427	37.93662727921809	23.645080486106355	2015-03-28 13:08:58
2927	user10	Thomson2E0343	00:26:44:07:fd:a1	-87	2437	37.936677078270264	23.645063228561664	2015-03-28 13:08:58
2928	user10	OTEc21c90	a4:7e:39:c2:1c:90	-87	2412	37.93649998561527	23.64516990985178	2015-03-28 13:08:59
2929	user10	ThomsonC82CB9	00:1f:9f:42:07:0b	-93	2462	37.936616991600864	23.645035990912	2015-03-28 13:09:00
2930	user10	hol10	00:05:59:36:b6:24	-69	2457	37.93653486399878	23.644992913106123	2015-03-28 13:09:12
2931	user10	NetFasteR	00:05:59:27:16:a2	-84	2437	37.93665710010521	23.645171474864462	2015-03-28 13:09:15
2932	user10	Forthnet-25E8D8	18:17:25:25:e8:d8	-84	2432	37.93655055556866	23.644993532409405	2015-03-28 13:09:16
2933	user10	OTEc21c90	a4:7e:39:c2:1c:90	-84	2412	37.93649998561527	23.64516990985178	2015-03-28 13:09:18
2934	user10	OTE	14:60:80:d2:95:0d	-90	2452	37.936615632038304	23.645258860579226	2015-03-28 13:09:18
2935	user10	Merlin	00:26:44:5a:4b:7c	-87	2412	37.936773132127826	23.645191451793345	2015-03-28 13:09:19
2936	user10	ZeaCinema	a4:7e:39:d0:91:98	-93	2472	37.93670701675196	23.645229153253005	2015-03-28 13:09:19
2937	user10	0355	00:15:56:cd:7a:a1	-93	2437	37.93665996104541	23.64494799611391	2015-03-28 13:09:20
2938	user10	hol10	00:05:59:36:b6:24	-84	2457	37.93653486399878	23.644992913106123	2015-03-28 13:09:33
2939	user10	conn-x915dbc	8c:e0:81:91:5d:bc	-78	2462	37.93661800935485	23.645109202330865	2015-03-28 13:09:34
2940	user10	-Charalampos-	58:98:35:53:25:d4	-60	2437	37.93657552415564	23.64503049821403	2015-03-28 13:09:35
2941	user10	NetFasteR	00:05:59:27:16:a2	-81	2437	37.93665710010521	23.645171474864462	2015-03-28 13:09:36
2942	user10	CYTA024997	00:8c:54:a3:dc:a1	-81	2427	37.93662727921809	23.645080486106355	2015-03-28 13:09:37
2943	user10	OTEc21c90	a4:7e:39:c2:1c:90	-93	2412	37.93649998561527	23.64516990985178	2015-03-28 13:09:38
2944	user10	Forthnet-2451FA	18:17:25:24:51:fa	-90	2412	37.93672270455381	23.645079391386812	2015-03-28 13:09:38
2945	user10	CYTA	38:22:9d:ad:54:4a	-81	2452	37.93661595192516	23.645183650356685	2015-03-28 13:09:56
2946	user10	DIMOS	54:22:f8:2e:d9:d4	-84	2442	37.93669127363691	23.644864657477324	2015-03-28 13:09:58
2947	user10	hol10	00:05:59:36:b6:24	-72	2457	37.93653486399878	23.644992913106123	2015-03-28 13:10:34
2948	user10	-Charalampos-	58:98:35:53:25:d4	-63	2437	37.93657552415564	23.64503049821403	2015-03-28 13:10:37
2949	user10	NetFasteR	00:05:59:50:dd:32	-84	2437	37.9365706996939	23.64498880213854	2015-03-28 13:10:38
2950	user10	Wind	f0:84:c9:7e:71:90	-87	2452	37.93656945790121	23.644995395306104	2015-03-28 13:10:43
2951	user10	HOL30	9a:8b:97:db:33:43	-93	2462	37.93651839447671	23.64499603994746	2015-03-28 13:11:01
2952	user10	ZeaCinema	a4:7e:39:d0:91:98	-90	2472	37.93673328638151	23.645029028546833	2015-03-28 13:11:02
2953	user10	conn-x919834	8c:e0:81:91:98:34	-72	2467	37.93666808403287	23.644908571933662	2015-03-28 13:11:15
2954	user10	-Charalampos-	58:98:35:53:25:d4	-90	2437	37.93657552415564	23.64503049821403	2015-03-28 13:11:16
2955	user10	NetFasteR	00:05:59:27:16:a2	-87	2437	37.93665710010521	23.645171474864462	2015-03-28 13:11:16
2956	user10	OTEc21c90	a4:7e:39:c2:1c:90	-90	2412	37.93649998561527	23.64516990985178	2015-03-28 13:11:18
2957	user10	TNCAP541D1F	a4:b1:e9:54:1d:1f	-93	2437	37.93665782945414	23.6451096073897	2015-03-28 13:11:20
2958	user10	OTEdbaaa8	a4:7e:39:db:aa:a8	-93	2472	37.93658702839406	23.645238724525854	2015-03-28 13:11:20
2959	user10	Thomson2E0343	00:26:44:07:fd:a1	-84	2437	37.93677667812384	23.644858273292602	2015-03-28 13:11:43
2960	user10	OTE35aed0	b0:75:d5:35:ae:d0	-93	2457	37.93655483171525	23.645210716665986	2015-03-28 13:11:45
2961	user10	hol10	00:05:59:36:b6:24	-75	2457	37.93653486399878	23.644992913106123	2015-03-28 13:12:14
2962	user10	OTEdbaaa8	a4:7e:39:db:aa:a8	-87	2472	37.93658702839406	23.645238724525854	2015-03-28 13:12:20
2963	user10	Wind	f0:84:c9:7e:71:90	-93	2452	37.93671442722107	23.6450168383658	2015-03-28 13:12:21
2964	user10	HOL	ba:8b:97:87:8f:11	-93	2412	37.93669866573998	23.644941468818004	2015-03-28 13:12:39
2965	user10	-Charalampos-	58:98:35:53:25:d4	-78	2437	37.93657552415564	23.64503049821403	2015-03-28 13:12:41
2966	user10	Forthnet-25E8D8	18:17:25:25:e8:d8	-93	2432	37.93655055556866	23.644993532409405	2015-03-28 13:12:44
2967	user10	Forthnet-08900	14:60:80:a0:89:00	-93	2412	37.93673505462196	23.644927572269765	2015-03-28 13:12:46
2968	user10	HOL	5a:07:26:35:cb:23	-93	2412	37.93648953994606	23.645122493113174	2015-03-28 13:12:46
2969	user10	hol10	00:05:59:36:b6:24	-54	2457	37.93653486399878	23.644992913106123	2015-03-28 13:13:01
2970	user10	OTE	54:22:f8:2e:d9:d5	-84	2442	37.93661061516825	23.644861423649147	2015-03-28 13:13:06
2971	user10	Eva-Giannis	00:05:59:34:28:18	-84	2437	37.93658177182591	23.645017366673358	2015-03-28 13:13:08
2972	user10	HOL	ba:8b:97:87:8f:11	-57	2412	37.93669866573998	23.644941468818004	2015-03-28 13:13:37
2973	user10	NetFasteR	00:05:59:27:16:a2	-90	2437	37.93665710010521	23.645171474864462	2015-03-28 13:13:39
2974	user10	CYTA024997	00:8c:54:a3:dc:a1	-78	2427	37.93662727921809	23.645080486106355	2015-03-28 13:13:40
2975	user10	HOL	5a:07:26:35:cb:23	-90	2412	37.93648953994606	23.645122493113174	2015-03-28 13:13:41
2976	user10	Wind	4c:09:b4:1c:14:5a	-93	2462	37.93649631637771	23.645052838297662	2015-03-28 13:13:42
2977	user10	Forthnet-2451FA	18:17:25:24:51:fa	-93	2412	37.93675537021571	23.64495165191653	2015-03-28 13:14:22
2978	user10	HOL_ZTE_4	2c:95:7f:49:a4:f8	-93	2412	37.936634867951014	23.64498472274881	2015-03-28 13:15:03
2979	user10	HOL_ZTE_4	2c:95:7f:49:a4:f8	-87	2412	37.936634867951014	23.64498472274881	2015-03-28 13:15:26
2980	user10	conn-x919834	8c:e0:81:91:98:34	-84	2467	37.93666808403287	23.644908571933662	2015-03-28 13:15:59
2981	user10	Tritos	00:1c:a2:ac:2a:a9	-87	2472	37.93654888455243	23.64513531622982	2015-03-28 13:16:00
2982	user10	CYTA024997	00:8c:54:a3:dc:a1	-85	2427	37.936585383529575	23.644967699877917	2015-03-28 13:16:03
2983	user10	stepa232	cc:7b:35:cc:1e:a0	-87	2462	37.936705890190225	23.644964622247468	2015-03-28 13:16:03
2984	user10	Eva-Giannis	00:05:59:34:28:18	-90	2437	37.936740288920944	23.64491901454352	2015-03-28 13:16:42
2985	user10	OTEddb9e8	14:60:80:dd:b9:e8	-93	2462	37.93677810736006	23.645191447006233	2015-03-28 13:16:43
2986	user10	CYTA	38:22:9d:ad:54:4a	-93	2452	37.93661595192516	23.645183650356685	2015-03-28 13:17:01
2987	user10	Wind	48:28:2f:32:d0:fa	-93	2437	37.936654933317996	23.644936019079992	2015-03-28 13:17:03
2988	user10	Forthnet2014	a0:ec:80:22:5c:ac	-93	2437	37.936806539092615	23.64499038303449	2015-03-28 13:17:03
2989	user10	-Charalampos-	58:98:35:53:25:d4	-75	2437	37.93657552415564	23.64503049821403	2015-03-28 13:17:40
2990	user10	HOL	5a:07:26:35:cb:23	-87	2412	37.93655838666133	23.645081668891244	2015-03-28 13:17:43
2991	user10	HOL	5a:07:26:35:cb:23	-81	2412	37.93655838666133	23.645081668891244	2015-03-28 13:18:03
2992	user10	hol10	00:05:59:36:b6:24	-78	2457	37.93653486399878	23.644992913106123	2015-03-28 13:18:17
2993	user10	conn-x919834	8c:e0:81:91:98:34	-87	2467	37.93666808403287	23.644908571933662	2015-03-28 13:18:39
2994	user10	NetFasteR	00:05:59:27:16:a2	-93	2437	37.93665710010521	23.645171474864462	2015-03-28 13:20:40
2995	user10	hol10	00:05:59:36:b6:24	-51	2457	37.93653486399878	23.644992913106123	2015-03-28 13:20:57
2996	user10	OTE	54:22:f8:2e:d9:d5	-81	2442	37.936804380739844	23.64501763567599	2015-03-28 13:21:02
2997	user10	conn-x919834	8c:e0:81:91:98:34	-90	2467	37.93666808403287	23.644908571933662	2015-03-28 13:21:38
2998	user10	HOL	ba:8b:97:87:8f:11	-75	2412	37.93669866573998	23.644941468818004	2015-03-28 13:22:17
2999	user10	hol10	00:05:59:36:b6:24	-48	2457	37.93653486399878	23.644992913106123	2015-03-28 13:22:37
3000	user10	-Charalampos-	58:98:35:53:25:d4	-84	2437	37.93657552415564	23.64503049821403	2015-03-28 13:23:18
3001	user10	NetFasteR	00:05:59:27:16:a2	-69	2437	37.93665710010521	23.645171474864462	2015-03-28 13:23:19
3002	user10	Tritos	00:1c:a2:ac:2a:a9	-78	2472	37.93669175567838	23.64496817231804	2015-03-28 13:24:21
3003	user10	conn-xd2950c	14:60:80:d2:95:0c	-87	2452	37.93681745144031	23.64515161129052	2015-03-28 13:24:23
3004	user10	Tritos	00:1c:a2:ac:2a:a9	-75	2472	37.93669175567838	23.64496817231804	2015-03-28 13:24:41
3005	user10	nelu	00:1d:1c:73:ce:7d	-90	2462	37.93675157457639	23.644990060670175	2015-03-28 13:25:04
3006	user10	Forthnet-08900	14:60:80:a0:89:00	-90	2412	37.93670311980167	23.64518160532953	2015-03-28 13:25:04
3007	user10	ThomsonC82CB9	00:1f:9f:42:07:0b	-84	2462	37.936775960044514	23.64525342256093	2015-03-28 13:25:04
3008	user10	CYTA	38:22:9d:ad:54:4a	-78	2452	37.93677809556259	23.645170565326556	2015-03-28 13:28:47
3009	user10	fpga	00:1d:1c:51:9b:82	-93	2412	37.93659977509149	23.645117069152572	2015-03-28 13:28:50
3010	user10	DIMOS	54:22:f8:2e:d9:d4	-78	2442	37.9367535797299	23.64505975953966	2015-03-28 13:29:26
3011	user10	CYTA024997	00:8c:54:a3:dc:a1	-84	2427	37.9367705421892	23.645116150568466	2015-03-28 13:29:48
3012	user10	OTE	54:22:f8:2e:d9:d5	-78	2442	37.93664705809486	23.64512189802356	2015-03-28 13:30:08
3013	user10	HP-Print-92-Deskjet	74:46:a0:67:8b:92	-93	2437	37.936523182384626	23.644964505076977	2015-03-28 13:31:51
3014	user10	Tritos	00:1c:a2:ac:2a:a9	-72	2472	37.93669175567838	23.64496817231804	2015-03-28 13:32:27
3015	user10	fpga	00:1d:1c:51:9b:82	-87	2412	37.93658515648859	23.645191175184415	2015-03-28 13:32:30
3016	user10	OTEf2f0	00:13:33:1e:f2:f0	-93	2437	37.9367226007749	23.645220450953026	2015-03-28 13:32:53
3017	user10	Psittt...	cc:1a:fa:9a:93:74	-93	2447	37.936789824609306	23.64509996594292	2015-03-28 13:32:54
3018	user10	OTE	54:22:f8:2e:d9:d5	-72	2442	37.93650192088666	23.644993089343615	2015-03-28 13:33:16
3019	user10	ZeaCinema	a4:7e:39:d0:91:98	-87	2472	37.93668408344413	23.645011297917904	2015-03-28 13:33:52
3020	user10	fisherman	14:60:80:97:e7:e8	-87	2462	37.93662661614975	23.64520413505566	2015-03-28 13:34:14
3021	user10	Merlin	00:26:44:5a:4b:7c	-81	2412	37.93682857610335	23.64512858866252	2015-03-28 13:34:49
3022	user10	LaznaL	a6:e9:e3:39:58:9a	-90	2412	37.9365696765321	23.645124182931298	2015-03-28 13:35:33
3023	user10	0355	00:15:56:cd:7a:a1	-90	2437	37.936580152702604	23.645216120581278	2015-03-28 13:36:55
3024	user10	Forthnet-25E8D8	18:17:25:25:e8:d8	-81	2432	37.93657290575675	23.645004862200807	2015-03-28 13:37:16
3025	user10	LaznaL	a6:e9:e3:39:58:9a	-93	2412	37.936541944071635	23.644978386888837	2015-03-28 13:37:55
3026	user10	HOL	ba:8b:97:87:8f:11	-78	2412	37.93669866573998	23.644941468818004	2015-03-28 13:39:11
3027	user10	fpga	00:1d:1c:51:9b:82	-90	2412	37.9366246193718	23.64504750267055	2015-03-28 13:39:16
3028	user10	Forthnet-2451FA	18:17:25:24:51:fa	-87	2412	37.93662290348828	23.6451173789413	2015-03-28 13:41:56
3029	user10	Forthnet2014	a0:ec:80:22:5c:ac	-87	2437	37.93671460158369	23.64514391194812	2015-03-28 13:42:20
3030	user10	CYTA9A19	2c:95:7f:4e:9a:19	-93	2437	37.93672818483943	23.645257028153434	2015-03-28 13:42:40
3031	user10	OTEf3c638	34:4d:ea:f3:c6:38	-93	2462	37.936595051846574	23.645084805075218	2015-03-28 13:42:41
3032	user10	OTE	34:4d:ea:f3:c6:39	-90	2462	37.936632600670144	23.64510431664543	2015-03-28 13:42:41
3033	user10	OTE	34:4d:ea:f3:c6:39	-93	2462	37.936632600670144	23.64510431664543	2015-03-28 13:43:01
3034	user10	Forthnet-08900	14:60:80:a0:89:00	-84	2412	37.936529573015434	23.64514725404123	2015-03-28 13:43:25
3035	user10	OTE	34:4d:ea:f3:c6:39	-87	2462	37.936632600670144	23.64510431664543	2015-03-28 13:43:25
3036	user10	OTE	2c:26:c5:72:1e:3d	-93	2452	37.936682113255614	23.644984350490382	2015-03-28 13:45:23
3037	user10	fisherman	14:60:80:97:e7:e8	-93	2462	37.93660783079638	23.64517282412338	2015-03-28 13:45:23
3038	user10	HOL	ba:8b:97:87:8f:11	-87	2412	37.93669866573998	23.644941468818004	2015-03-28 13:45:58
3039	user10	-Charalampos-	58:98:35:53:25:d4	-93	2437	37.9365655527817	23.644961797275524	2015-03-28 13:46:02
3040	user10	HOL	ba:8b:97:87:8f:11	-72	2412	37.93669866573998	23.644941468818004	2015-03-28 13:46:17
3041	user10	HOL	ba:8b:97:87:8f:11	-84	2412	37.93669866573998	23.644941468818004	2015-03-28 13:46:57
3042	user10	conn-x919834	8c:e0:81:91:98:34	-93	2467	37.93678186306367	23.64514625863328	2015-03-28 13:47:19
3043	user10	-Charalampos-	58:98:35:53:25:d4	-81	2437	37.9365655527817	23.644961797275524	2015-03-28 13:48:00
3044	user10	Wind	cc:7b:35:cb:f2:1c	-93	2467	37.93657192945171	23.64487299006743	2015-03-28 13:48:02
3045	user10	ThomsonC82CB9	00:1f:9f:42:07:0b	-90	2462	37.93673966283466	23.645146440331928	2015-03-28 13:52:51
3046	user10	Wind	f0:84:c9:7e:71:90	-90	2452	37.93654396615695	23.64524954626963	2015-03-28 13:53:27
3047	user10	panagiotis	54:22:f8:20:f6:40	-87	2417	37.93660734325323	23.644984639914583	2015-03-28 13:53:49
3048	user10	SpeedTouch6FFCA3	00:90:d0:f0:49:25	-93	2462	37.93655803953952	23.645082473784704	2015-03-28 13:53:50
